reporting_date,po_id,po_number,po_item_id,po_item_number,po_created_date,po_lifecycle_status,po_item_lifecycle_status,document_currency,vendor_id,vendor_name,preferred_vendor_flag,plant_id,plant_name,purchasing_group_id,purchasing_group_name,material_id,material_name,material_group_id,material_group_name,spend_category,base_unit_of_measure,pr_item_id,direct_po_flag,ordered_quantity,unit_price,net_value,planned_delivery_date,total_accepted_quantity,open_quantity,fulfillment_status,fulfillment_date,delivery_performance_status,otif_eligible_flag,otif_flag,remaining_commitment_value,backlog_due_status,backlog_age_days
2026-03-31,PO-004,4500001004,POI-008,10,2026-02-15,active,active,EUR,VEN-002,Ruhr Stahlhandel GmbH,1,PL-001,Marmara Components Gebze Manufacturing Plant,PG-001,Direct Materials Sourcing,MAT-001,Cold Rolled Steel Coil,MG-001,Metals and Raw Materials,Direct Materials,KG,PRI-008,0,650,1.23,799.50,2026-03-03,650,0,complete,2026-03-05,late in full,1,0,0.00,,
2026-03-31,PO-004,4500001004,POI-009,20,2026-02-15,active,active,EUR,VEN-002,Ruhr Stahlhandel GmbH,1,PL-001,Marmara Components Gebze Manufacturing Plant,PG-001,Direct Materials Sourcing,MAT-003,Copper Busbar,MG-001,Metals and Raw Materials,Direct Materials,KG,PRI-009,0,180,9.16,1648.80,2026-03-10,0,180,open,,not fulfilled,1,0,1648.80,overdue,21
2026-03-31,PO-004,4500001004,POI-010,30,2026-02-15,active,active,EUR,VEN-002,Ruhr Stahlhandel GmbH,1,PL-001,Marmara Components Gebze Manufacturing Plant,PG-001,Direct Materials Sourcing,MAT-002,Aluminum Extrusion Bar,MG-001,Metals and Raw Materials,Direct Materials,KG,PRI-010,0,300,4.08,1224.00,2026-03-06,300,0,complete,2026-03-06,on time in full,1,1,0.00,,
2026-03-31,PO-007,4500001007,POI-014,10,2026-02-22,active,active,EUR,VEN-002,Ruhr Stahlhandel GmbH,1,PL-002,Marmara Components Bursa Distribution Center,PG-001,Direct Materials Sourcing,MAT-002,Aluminum Extrusion Bar,MG-001,Metals and Raw Materials,Direct Materials,KG,,1,150,3.98,597.00,2026-03-07,0,150,open,,not fulfilled,1,0,597.00,overdue,24
2026-03-31,PO-001,4500001001,POI-001,10,2026-02-05,active,active,TRY,VEN-001,Anadolu Metal Sanayi A.S.,1,PL-001,Marmara Components Gebze Manufacturing Plant,PG-001,Direct Materials Sourcing,MAT-001,Cold Rolled Steel Coil,MG-001,Metals and Raw Materials,Direct Materials,KG,PRI-001,0,1000,1.17,1170.00,2026-02-21,1000,0,complete,2026-02-21,on time in full,1,1,0.00,,
2026-03-31,PO-001,4500001001,POI-002,20,2026-02-05,active,active,TRY,VEN-001,Anadolu Metal Sanayi A.S.,1,PL-001,Marmara Components Gebze Manufacturing Plant,PG-001,Direct Materials Sourcing,MAT-002,Aluminum Extrusion Bar,MG-001,Metals and Raw Materials,Direct Materials,KG,PRI-002,0,420,3.81,1600.20,2026-02-24,420,0,complete,2026-02-27,late in full,1,0,0.00,,
2026-03-31,PO-002,4500001002,POI-003,10,2026-02-08,active,active,TRY,VEN-003,Ege Packaging A.S.,0,PL-001,Marmara Components Gebze Manufacturing Plant,PG-002,Indirect Materials and Packaging,MAT-004,Corrugated Export Carton,MG-002,Packaging Materials,Indirect Materials,EA,PRI-003,0,800,1.15,920.00,2026-02-25,500,300,partial,,not fulfilled,1,0,345.00,overdue,34
2026-03-31,PO-002,4500001002,POI-004,20,2026-02-08,active,active,TRY,VEN-003,Ege Packaging A.S.,0,PL-001,Marmara Components Gebze Manufacturing Plant,PG-002,Indirect Materials and Packaging,MAT-005,Stretch Film Roll,MG-002,Packaging Materials,Indirect Materials,EA,PRI-004,0,40,18.61,744.40,2026-02-28,38,2,partial,,not fulfilled,1,0,37.22,overdue,31
2026-03-31,PO-003,4500001003,POI-005,10,2026-02-11,active,active,TRY,VEN-004,Bursa Teknik Bakim Ltd.,0,PL-002,Marmara Components Bursa Distribution Center,PG-003,MRO and Plant Services,MAT-007,Hydraulic Seal Kit,MG-003,MRO Spare Parts,MRO,EA,PRI-005,0,12,42.43,509.16,2026-02-26,12,0,complete,2026-02-26,on time in full,1,1,0.00,,
2026-03-31,PO-003,4500001003,POI-006,20,2026-02-11,active,active,TRY,VEN-004,Bursa Teknik Bakim Ltd.,0,PL-002,Marmara Components Bursa Distribution Center,PG-003,MRO and Plant Services,MAT-008,CNC Spindle Bearing,MG-003,MRO Spare Parts,MRO,EA,PRI-006,0,4,184.15,736.60,2026-03-03,0,4,open,,not fulfilled,1,0,736.60,overdue,28
2026-03-31,PO-003,4500001003,POI-007,30,2026-02-11,active,active,TRY,VEN-004,Bursa Teknik Bakim Ltd.,0,PL-002,Marmara Components Bursa Distribution Center,PG-003,MRO and Plant Services,MAT-010,Cutting Fluid Concentrate,MG-004,Plant Consumables and Services,Services and Consumables,L,PRI-007,0,120,4.88,585.60,2026-02-28,120,0,complete,2026-03-02,late in full,1,0,0.00,,
